Unit,Total Packets Processed,Total Process Time,Average Process Time
MAC Track+Preproc,2309436,2092.171056032181,22.648073555969734
MAC Track,2309436,259.65063405036926,21.63657351560916
Preprocesser,2309436,93.43978428840637,19.837315495880937
Start and finish time,1514393518.463944,1514395612.02865
