from,to,weight
s10,s03,1843535
s10,s01,32550
s10,s04,1899455
s10,s06,1854962
s10,s02,3526773
s10,s08,3044004
s10,s12,48319
s10,s07,3648625
s10,s05,1891270
s10,s11,133987
s10,s09,2015949
s07,s10,15933323
s07,s01,532240
s03,s10,12306222
s03,s01,434877
s08,s10,15421724
s08,s01,1863694
s04,s10,13168256
s04,s01,491847
s12,s10,39549
s12,s01,913891
s12,s11,3088
s02,s10,17899988
s02,s01,5743143
s01,s03,216416
s01,s04,221040
s01,s06,231960
s01,s10,29166
s01,s02,1029777
s01,s08,418789
s01,s12,2420429
s01,s07,231155
s01,s05,213228
s01,s11,16772204
s01,s09,82592
s09,s10,14483759
s09,s01,202698
s11,s10,56355
s11,s01,3530279
s11,s12,156
s05,s10,12513868
s05,s01,423258
s06,s10,12494005
s06,s01,413041
