BLE Results:,,Wi-Fi Results:,,Total Results:,
True Positives,42,True Positives,34,True Positives,76
False Positives,1,False Positives,2,False Positives,3
False Negatives,1,False Negatives,3,False Negatives,4
Number of events logged,43,Number of events logged,37,Number of events logged,80
Number of events identified,43,Number of events identified,36,Number of events identified,79
Event identification success rate,97.6744186,Event identification success rate,91.89189189,Event identification success rate,95
Event identification false positive rate,2.325581395,Event identification false positive rate,5.555555556,Event identification false positive rate,3.797468354
Event identification false negative rate,2.325581395,Event identification false negative rate,8.108108108,Event identification false negative rate,5
True Positives:,,,,,
8/23/17 7:05,Eve Weather 943D,1,,,
8/23/17 7:06,Eve Room 4A04,1,,,
8/23/17 7:09,PLAYBULB,1,,,
8/23/17 7:12,Instant Pot Smart,1,,,
8/23/17 7:14,Eve Energy 556E,1,,,
8/23/17 7:17,Eve Motion 31A7,1,,,
8/23/17 7:19,Eve Motion 31A7,1,,,
8/23/17 7:20,Eve Energy 556E,1,,,
8/23/17 7:21,Gunbox,1,,,
8/23/17 7:21,Instant Pot Smart,1,,,
8/23/17 7:22,Eve Motion 31A7,1,,,
8/23/17 7:22,Gunbox,1,,,
8/23/17 7:23,Eve Room 4A04,1,,,
8/23/17 7:24,Eve Motion 31A7,1,,,
8/23/17 7:25,Eve Weather 943D,1,,,
8/23/17 7:26,PLAYBULB,1,,,
8/23/17 7:31,PLAYBULB,1,,,
8/23/17 7:32,00000b67,1,,,
8/23/17 7:33,BLELock,1,,,
8/23/17 7:34,Eve Door 91B3,1,,,
8/23/17 14:33,Eve Door 91B3,1,,,
8/23/17 16:20,Eve Door 91B3,1,,,
8/23/17 16:21,Eve Door 91B3,1,,,
8/23/17 16:22,Eve Door 91B3,1,,,
8/23/17 16:31,Eve Door 91B3,1,,,
8/23/17 16:43,Eve Door 91B3,1,,,
8/23/17 17:44,Eve Motion 31A7,1,,,
8/23/17 17:46,Eve Motion 31A7,1,,,
8/23/17 17:46,Eve Energy 556E,1,,,
8/23/17 17:50,Gunbox,1,,,
8/23/17 17:54,Eve Weather 943D,1,,,
8/23/17 17:56,PLAYBULB,1,,,
8/23/17 17:57,Instant Pot Smart,1,,,
8/23/17 17:58,Eve Weather 943D,1,,,
8/23/17 18:00,Eve Room 4A04,1,,,
8/23/17 18:01,PLAYBULB,1,,,
8/23/17 18:05,Instant Pot Smart,1,,,
8/23/17 18:05,Eve Motion 31A7,1,,,
8/23/17 18:06,Gunbox,1,,,
8/23/17 18:06,Instant Pot Smart,1,,,
8/23/17 18:06,Eve Motion 31A7,1,,,
8/23/17 18:07,Eve Energy 556E,1,,,
8/23/17 7:04,NetCam,1,,,
8/23/17 7:08,Switch2,1,,,
8/23/17 7:10,Motion,1,,,
8/23/17 7:11,Switch4,1,,,
8/23/17 7:13,Switch3,1,,,
8/23/17 7:15,Mini,1,,,
8/23/17 7:16,Insight,1,,,
8/23/17 7:19,Switch1,1,,,
8/23/17 7:21,Switch2,1,,,
8/23/17 7:22,Mini,1,,,
8/23/17 7:22,Switch3,1,,,
8/23/17 7:24,Motion,1,,,
8/23/17 7:24,Switch1,1,,,
8/23/17 7:25,NetCam,1,,,
8/23/17 7:25,Insight,1,,,
8/23/17 13:35,Motion,1,,,
8/23/17 13:38,Motion,1,,,
8/23/17 13:52,NetCam,1,,,
8/23/17 16:26,NetCam,1,,,
8/23/17 16:27,NetCam,1,,,
8/23/17 16:28,NetCam,1,,,
8/23/17 17:43,Motion,1,,,
8/23/17 17:43,Insight,1,,,
8/23/17 17:45,Switch2,1,,,
8/23/17 17:49,Switch4,1,,,
8/23/17 17:51,Mini,1,,,
8/23/17 17:55,NetCam,1,,,
8/23/17 18:01,Switch4,1,,,
8/23/17 18:01,Switch2,1,,,
8/23/17 18:01,NetCam,1,,,
8/23/17 18:01,Switch1,1,,,
8/23/17 18:01,Switch3,1,,,
8/23/17 18:05,Insight,1,,,
8/23/17 18:07,Mini,1,,,
False Positives:,,,,,
8/23/17 15:08,Eve Door 91B3,1,??,,
8/23/17 15:21,Motion,1,,,
8/23/17 16:09,NetCam,1,,,
False Negatives:,,,,,
8/23/17 17:53,Eve Room 4A04,1,Other connection,,
8/23/17 7:21,Switch4,1,Dropped packet,Sent by router,
8/23/17 17:47,Switch1,1,Dropped packet,sent by router,
8/23/17 17:48,Switch3,1,Dropped packet,Sent by router,
