a0:18:28:33:34:f8,8/23/17 7:02,8/23/17 7:36,,a0:18:28:33:34:f8,8/23/17 7:02,8/23/17 7:35
a0:18:28:33:34:f8,8/23/17 17:16,8/23/17 17:29,,a0:18:28:33:34:f8,8/23/17 17:16,8/23/17 17:29
b4:75:0e:0d:33:d5,8/23/17 7:02,8/23/17 18:07,,a0:18:28:33:34:f8,8/23/17 17:37,8/23/17 18:07
ec:4f:82:73:d1:1c,8/23/17 7:02,8/23/17 18:07,,,,
b4:75:0e:0d:94:65,8/23/17 7:02,8/23/17 18:07,,,,665
14:91:82:c8:6a:09,8/23/17 7:02,8/23/17 18:07,,,,
b8:27:eb:09:1a:81,8/23/17 7:02,8/23/17 18:07,,,,
ec:1a:59:e4:fd:41,8/23/17 7:02,8/23/17 18:07,,,,
14:91:82:24:dd:35,8/23/17 7:02,8/23/17 18:07,,,,
08:66:98:ed:1e:19,8/23/17 7:03,8/23/17 18:07,,,,
ec:1a:59:f1:fb:21,8/23/17 7:02,8/23/17 18:07,,,,
94:10:3e:2b:7a:55,8/23/17 7:02,8/23/17 18:07,,,,
a0:18:28:33:34:f8,8/23/17 17:36,8/23/17 18:07,,,,
60:38:e0:ee:7c:e5,8/23/17 7:02,8/23/17 18:07,,,,
