8/22/2017 5:57:05 AM,ec:1a:59:f1:fb:21,Motion Sensor: Detected
8/22/2017 6:00:28 AM,14:91:82:24:dd:35,Set state: On
8/22/2017 6:01:15 AM,60:38:e0:ee:7c:e5,Set state: On
8/22/2017 6:02:12 AM,b4:75:0e:0d:94:65,Set state: On
8/22/2017 6:03:14 AM,ec:1a:59:e4:fd:41,Motion Sensor: Detected
8/22/2017 6:05:31 AM,b4:75:0e:0d:33:d5,Set state: On
8/22/2017 6:08:07 AM,94:10:3e:2b:7a:55,Set state: On
8/22/2017 6:13:09 AM,14:91:82:c8:6a:09,Set state: On
8/22/2017 6:13:25 AM,ec:1a:59:f1:fb:21,Motion Sensor: Detected
8/22/2017 6:16:28 AM,60:38:e0:ee:7c:e5,Set state: Off
8/22/2017 6:16:34 AM,b4:75:0e:0d:33:d5,Set state: Off
8/22/2017 6:16:40 AM,14:91:82:c8:6a:09,Set state: Off
8/22/2017 6:17:44 AM,ec:1a:59:e4:fd:41,Motion Sensor: Detected
8/22/2017 6:18:03 AM,14:91:82:24:dd:35,Set state: Off
8/22/2017 6:18:08 AM,b4:75:0e:0d:94:65,Set state: Off
8/22/2017 6:18:13 AM,94:10:3e:2b:7a:55,Set state: Off
8/22/2017 8:18:33 AM,ec:1a:59:f1:fb:21,Motion Sensor: Detected
8/22/2017 2:16:44 PM,b4:75:0e:0d:33:d5,Set state: On
8/22/2017 2:19:39 PM,b4:75:0e:0d:33:d5,Set state: Off
8/22/2017 4:19:05 PM,14:91:82:c8:6a:09,Set state: On
8/22/2017 4:20:17 PM,14:91:82:24:dd:35,Set state: On
8/22/2017 4:26:18 PM,b4:75:0e:0d:33:d5,Set state: On
8/22/2017 4:28:19 PM,ec:1a:59:f1:fb:21,Motion Sensor: Detected
8/22/2017 4:29:13 PM,b4:75:0e:0d:94:65,Set state: On
8/22/2017 4:30:17 PM,ec:1a:59:e4:fd:41,Motion Sensor: Detected
8/22/2017 4:31:32 PM,60:38:e0:ee:7c:e5,Set state: On
8/22/2017 4:37:24 PM,94:10:3e:2b:7a:55,Set state: On
8/22/2017 4:39:20 PM,94:10:3e:2b:7a:55,Set state: Off
8/22/2017 4:39:33 PM,ec:1a:59:f1:fb:21,Motion Sensor: Detected
8/22/2017 4:39:43 PM,14:91:82:24:dd:35,Set state: Off
8/22/2017 4:40:04 PM,b4:75:0e:0d:94:65,Set state: Off
8/22/2017 4:41:15 PM,14:91:82:c8:6a:09,Set state: Off
8/22/2017 4:42:26 PM,b4:75:0e:0d:33:d5,Set state: Off
8/22/2017 4:42:57 PM,ec:1a:59:e4:fd:41,Motion Sensor: Detected
8/22/2017 4:43:59 PM,60:38:e0:ee:7c:e5,Set state: Off
