BLE Results:,,Wi-Fi Results:,,Total Results:,
True Positives,50,True Positives,35,True Positives,85
False Positives,5,False Positives,1,False Positives,6
False Negatives,0,False Negatives,2,False Negatives,2
Number of events logged,50,Number of events logged,37,Number of events logged,87
Number of events identified,58,Number of events identified,35,Number of events identified,93
Event identification success rate,100,Event identification success rate,94.59459459,Event identification success rate,97.70114943
Event identification false positive rate,8.620689655,Event identification false positive rate,2.857142857,Event identification false positive rate,6.451612903
Event identification false negative rate,0,Event identification false negative rate,5.405405405,Event identification false negative rate,2.298850575
True Positives:,,,,,
8/25/17 8:16,Eve Energy 556E,1,,,
8/25/17 8:19,Eve Room 4A04,1,,,
8/25/17 8:20,PLAYBULB,1,,,
8/25/17 8:22,Instant Pot Smart,1,,,
8/25/17 8:23,Eve Motion 31A7,1,,,
8/25/17 8:25,Eve Weather 943D,1,,,
8/25/17 8:25,Eve Motion 31A7,1,,,
8/25/17 8:26,Eve Energy 556E,1,,,
8/25/17 8:26,Gunbox,1,,,
8/25/17 8:26,Instant Pot Smart,1,,,
8/25/17 8:27,Eve Motion 31A7,1,,,
8/25/17 8:27,Eve Room 4A04,1,,,
8/25/17 8:28,Eve Weather 943D,1,,,
8/25/17 8:29,Eve Motion 31A7,1,,,
8/25/17 8:29,PLAYBULB,1,,,
8/25/17 8:45,BLELock,1,,,
8/25/17 8:45,00000b67,1,,,
8/25/17 8:46,BLELock,1,,,
8/25/17 8:46,Eve Door 91B3,1,,,
8/25/17 10:00,Eve Door 91B3,1,,,
8/25/17 10:00,Eve Energy 556E,1,,,
8/25/17 10:00,Eve Motion 31A7,1,,,
8/25/17 10:00,Eve Weather 943D,1,,,
8/25/17 13:23,Eve Door 91B3,1,,,
8/25/17 13:24,Eve Door 91B3,1,,,
8/25/17 13:26,Eve Door 91B3,1,,,
8/25/17 13:28,Eve Door 91B3,1,,,
8/25/17 13:29,Eve Door 91B3,1,,,
8/25/17 13:30,Eve Door 91B3,1,,,
8/25/17 13:35,Eve Door 91B3,1,,,
8/25/17 13:36,Eve Door 91B3,1,,,
8/25/17 15:32,Eve Door 91B3,1,,,
8/25/17 15:42,BLELock,1,,,
8/25/17 19:35,Eve Energy 556E,1,,,
8/25/17 19:37,Eve Motion 31A7,1,,,
8/25/17 19:38,PLAYBULB,1,,,
8/25/17 19:39,Eve Motion 31A7,1,,,
8/25/17 19:40,Gunbox,1,,,
8/25/17 19:41,Eve Motion 31A7,1,,,
8/25/17 19:41,Eve Weather 943D,1,,,
8/25/17 19:43,Eve Motion 31A7,1,,,
8/25/17 19:43,Instant Pot Smart,1,,,
8/25/17 19:46,Eve Room 4A04,1,,,
8/25/17 19:51,Gunbox,1,,,
8/25/17 19:52,Eve Room 4A04,1,,,
8/25/17 19:54,Eve Energy 556E,1,,,
8/25/17 19:54,PLAYBULB,1,,,
8/25/17 19:55,Instant Pot Smart,1,,,
8/25/17 19:57,Eve Motion 31A7,1,,,
8/25/17 19:57,Eve Weather 943D,1,,,
8/25/17 8:11,Switch3,1,,,
8/25/17 8:12,Motion,1,,,
8/25/17 8:14,Switch2,1,,,
8/25/17 8:15,Switch4,1,,,
8/25/17 8:17,Insight,1,,,
8/25/17 8:18,NetCam,1,,,
8/25/17 8:21,Mini,1,,,
8/25/17 8:24,Switch1,1,,,
8/25/17 8:26,Switch4,1,,,
8/25/17 8:26,Switch2,1,,,
8/25/17 8:27,Mini,1,,,
8/25/17 8:27,Switch3,1,,,
8/25/17 8:28,Motion,1,,,
8/25/17 8:28,Switch1,1,,,
8/25/17 8:28,NetCam,1,,,
8/25/17 8:29,Insight,1,,,
8/25/17 9:45,NetCam,1,,,
8/25/17 9:55,NetCam,1,,,
8/25/17 19:31,NetCam,1,,,
8/25/17 19:36,Mini,1,,,
8/25/17 19:39,Switch2,1,,,
8/25/17 19:42,NetCam,1,,,
8/25/17 19:43,NetCam,1,,,
8/25/17 19:44,Insight,1,,,
8/25/17 19:45,Switch3,1,,,
8/25/17 19:47,Switch1,1,,,
8/25/17 19:48,Switch4,1,,,
8/25/17 19:49,NetCam,1,,,
8/25/17 19:51,Insight,1,,,
8/25/17 19:51,NetCam,1,,,
8/25/17 19:52,Switch2,1,,,
8/25/17 19:52,NetCam,1,,,
8/25/17 19:55,Switch3,1,,,
8/25/17 19:55,Switch4,1,,,
8/25/17 19:56,NetCam,1,,,
False Positives:,,,,,
8/25/17 8:44,Eve Motion 31A7,1,??,,
8/25/17 10:15,Eve Weather 943D,1,??,,
8/25/17 10:38,Eve Room 4A04,1,??,,
8/25/17 13:33,Eve Door 91B3,1,??,,
8/25/17 16:11,Eve Room 4A04,1,??,,
8/25/17 15:30,Motion,1,,,
False Negatives:,,,,,
8/25/17 19:52,Mini,1,Dropped packet,,
8/25/17 19:55,Switch1,1,Dropped packet,,
