from,to,weight
s10,s03,1513860
s10,s01,2407611
s10,s04,1477640
s10,s06,1459445
s10,s02,2709530
s10,s08,2028708
s10,s07,2781979
s10,s05,1478399
s10,s11,87152
s10,s09,1869825
s07,s10,15258938
s07,s01,6247361
s03,s10,12518219
s03,s01,6331597
s08,s10,14433595
s08,s01,7801264
s04,s10,12685455
s04,s01,7332550
s02,s10,10879505
s02,s01,7172339
s01,s03,151585
s01,s04,145327
s01,s06,150047
s01,s10,2342262
s01,s02,1246107
s01,s08,269978
s01,s07,145946
s01,s05,150019
s01,s11,18053386
s01,s09,62854
s09,s10,15866009
s09,s01,6652295
s11,s10,60705
s11,s01,3443937
s11,s12,739229
s05,s10,12552984
s05,s01,6562079
s06,s10,12494252
s06,s01,6628786
