Switch1,2017-12-22 09:37:12,2017-12-22 19:28:08
Router,2017-12-22 09:37:09,2017-12-22 19:28:08
Switch2,2017-12-22 09:37:17,2017-12-22 19:28:08
Switch4,2017-12-22 09:37:13,2017-12-22 19:28:08
Pi,2017-12-22 09:37:11,2017-12-22 19:28:08
NetCam,2017-12-22 09:37:11,2017-12-22 19:28:08
Insight,2017-12-22 09:37:23,2017-12-22 19:28:08
Motion,2017-12-22 09:37:17,2017-12-22 19:28:08
Switch3,2017-12-22 09:37:23,2017-12-22 19:28:08
iPhone,2017-12-22 09:37:24,2017-12-22 19:28:08
Mini,2017-12-22 09:37:08,2017-12-22 19:28:08
