Switch1,2017-12-26 10:54:35,2017-12-26 17:23:37
Router,2017-12-26 10:54:31,2017-12-26 17:23:37
Switch2,2017-12-26 10:54:34,2017-12-26 17:23:37
Switch4,2017-12-26 10:54:35,2017-12-26 17:23:37
Pi,2017-12-26 10:54:26,2017-12-26 17:23:37
NetCam,2017-12-26 10:54:26,2017-12-26 17:23:37
Insight,2017-12-26 10:54:35,2017-12-26 17:23:37
Motion,2017-12-26 10:54:34,2017-12-26 17:23:37
Switch3,2017-12-26 10:54:34,2017-12-26 17:23:37
iPhone,2017-12-26 10:54:29,2017-12-26 17:23:37
Mini,2017-12-26 10:54:26,2017-12-26 17:23:37
