a0:18:28:33:34:f8,8/22/17 5:53,8/22/17 6:27,,a0:18:28:33:34:f8,8/22/17 5:53,8/22/17 6:27
a0:18:28:33:34:f8,8/22/17 14:47,8/22/17 15:03,,a0:18:28:33:34:f8,8/22/17 14:47,8/22/17 15:03
b4:75:0e:0d:33:d5,8/22/17 5:54,8/22/17 16:44,,a0:18:28:33:34:f8,8/22/17 15:55,8/22/17 16:44
ec:4f:82:73:d1:1c,8/22/17 5:53,8/22/17 16:44,,,,
b4:75:0e:0d:94:65,8/22/17 5:53,8/22/17 16:44,,,,651
14:91:82:c8:6a:09,8/22/17 5:53,8/22/17 16:44,,,,
b8:27:eb:09:1a:81,8/22/17 5:53,8/22/17 16:44,,,,
ec:1a:59:e4:fd:41,8/22/17 5:53,8/22/17 16:44,,,,
14:91:82:24:dd:35,8/22/17 5:53,8/22/17 16:44,,,,
08:66:98:ed:1e:19,8/22/17 5:55,8/22/17 16:44,,,,
ec:1a:59:f1:fb:21,8/22/17 5:53,8/22/17 16:44,,,,
94:10:3e:2b:7a:55,8/22/17 5:54,8/22/17 16:44,,,,
a0:18:28:33:34:f8,8/22/17 15:54,8/22/17 16:44,,,,
60:38:e0:ee:7c:e5,8/22/17 5:53,8/22/17 16:44,,,,
