Unit,Total Packets Processed,Total Process Time,Average Process Time
MAC Track+Preproc,2259264,1928.650665,21.34158143
MAC Track,2259264,243.9294372,20.41321507
Preprocesser,2259264,83.89698768,18.64236791
Class+NtwkMapper,673471,1.39210391,0.051676461
Classifier,673471,0.801636219,0.047697664
Network Mapper,673471,0.107184172,0.021918824
