b4:75:0e:0d:33:d5,8/26/17 9:43,8/26/17 18:00,,,
ec:4f:82:73:d1:1c,8/26/17 9:43,8/26/17 18:00,,,
b4:75:0e:0d:94:65,8/26/17 9:43,8/26/17 18:00,,,
14:91:82:c8:6a:09,8/26/17 9:43,8/26/17 18:00,,,
b8:27:eb:09:1a:81,8/26/17 9:43,8/26/17 18:00,,,
ec:1a:59:e4:fd:41,8/26/17 9:43,8/26/17 18:00,,,
14:91:82:24:dd:35,8/26/17 9:43,8/26/17 18:00,,,497
08:66:98:ed:1e:19,8/26/17 9:44,8/26/17 18:00,,,
ec:1a:59:f1:fb:21,8/26/17 9:43,8/26/17 18:00,,,
94:10:3e:2b:7a:55,8/26/17 9:43,8/26/17 18:00,,,
a0:18:28:33:34:f8,8/26/17 9:43,8/26/17 18:00,,,
60:38:e0:ee:7c:e5,8/26/17 9:43,8/26/17 18:00,,,
