BLE Results:,,Wi-Fi Results:,,Total Results:,
True Positives,37,True Positives,28,True Positives,65
False Positives,0,False Positives,1,False Positives,1
False Negatives,2,False Negatives,5,False Negatives,7
Number of events logged,39,Number of events logged,33,Number of events logged,72
Number of events identified,39,Number of events identified,29,Number of events identified,68
Event identification success rate,94.87179487,Event identification success rate,84.84848485,Event identification success rate,90.27777778
Event identification false positive rate,0,Event identification false positive rate,3.448275862,Event identification false positive rate,1.470588235
Event identification false negative rate,5.128205128,Event identification false negative rate,15.15151515,Event identification false negative rate,9.722222222
True Positives:,,,,,
8/26/17 9:48,Eve Motion 31A7,1,,,
8/26/17 9:50,Eve Motion 31A7,1,,,
8/26/17 9:52,PLAYBULB,1,,,
8/26/17 9:54,Eve Weather 943D,1,,,
8/26/17 9:57,Eve Room 4A04,1,,,
8/26/17 9:58,Instant Pot Smart,1,,,
8/26/17 9:59,Eve Energy 556E,1,,,
8/26/17 10:02,Gunbox,1,,,
8/26/17 10:03,Instant Pot Smart,1,,,
8/26/17 10:04,Eve Room 4A04,1,,,
8/26/17 10:04,Eve Weather 943D,1,,,
8/26/17 10:05,Eve Energy 556E,1,,,
8/26/17 10:05,Eve Motion 31A7,1,,,
8/26/17 10:05,PLAYBULB,1,,,
8/26/17 10:07,Eve Motion 31A7,1,,,
8/26/17 10:24,Eve Door 91B3,1,,,
8/26/17 10:25,Eve Door 91B3,1,,,
8/26/17 17:36,BLELock,1,,,
8/26/17 17:36,00000b67,1,,,
8/26/17 17:37,Eve Door 91B3,1,,,
8/26/17 17:38,Eve Door 91B3,1,,,
8/26/17 17:39,Gunbox,1,,,
8/26/17 17:41,Eve Motion 31A7,1,,,
8/26/17 17:42,Eve Energy 556E,1,,,
8/26/17 17:43,Eve Motion 31A7,1,,,
8/26/17 17:47,Eve Weather 943D,1,,,
8/26/17 17:48,Instant Pot Smart,1,,,
8/26/17 17:49,Eve Room 4A04,1,,,
8/26/17 17:53,Eve Weather 943D,1,,,
8/26/17 17:53,PLAYBULB,1,,,
8/26/17 17:54,Eve Room 4A04,1,,,
8/26/17 17:54,Gunbox,1,,,
8/26/17 17:55,Eve Motion 31A7,1,,,
8/26/17 17:56,Eve Energy 556E,1,,,
8/26/17 17:56,Instant Pot Smart,1,,,
8/26/17 17:57,Eve Motion 31A7,1,,,
8/26/17 17:59,BLELock,1,,,
8/26/17 9:49,Switch3,1,,,
8/26/17 9:50,Insight,1,,,
8/26/17 9:53,Switch4,1,,,
8/26/17 9:55,Switch1,1,,,
8/26/17 9:56,NetCam,1,,,
8/26/17 10:00,Motion,1,,,
8/26/17 10:01,NetCam,1,,,
8/26/17 10:05,Insight,1,,,
8/26/17 10:05,Switch3,1,,,
8/26/17 10:06,Motion,1,,,
8/26/17 10:06,Switch4,1,,,
8/26/17 10:06,Mini,1,,,
8/26/17 13:47,NetCam,1,,,
8/26/17 17:40,Switch3,1,,,
8/26/17 17:43,Motion,1,,,
8/26/17 17:45,Switch4,1,,,
8/26/17 17:46,Mini,1,,,
8/26/17 17:50,NetCam,1,,,
8/26/17 17:51,Switch2,1,,,
8/26/17 17:52,Switch1,1,,,
8/26/17 17:54,NetCam,1,,,
8/26/17 17:55,Switch2,1,,,
8/26/17 17:55,Mini,1,,,
8/26/17 17:55,Insight,1,,,
8/26/17 17:55,Switch4,1,,,
8/26/17 17:56,Switch1,1,,,
8/26/17 17:56,Switch3,1,,,
8/26/17 17:57,Motion,1,,,
False Positives:,,,,,
8/26/17 15:31,Motion,1,,,
False Negatives:,,,,,
8/26/17 17:57,00000b67,1,Other connections,,
8/26/17 17:59,Eve Door 91B3,1,Other connections,,
8/26/17 9:46,Mini,1,Dropped packet,,
8/26/17 9:51,Switch2,1,Dropped packet,,
8/26/17 10:04,Switch2,1,Dropped packet,,
8/26/17 10:06,Switch1,1,Dropped packet,,
8/26/17 17:44,Insight,1,Dropped packet,,
