from,to,weight
s10,s03,1220259
s10,s01,63284
s10,s04,1242169
s10,s06,1254876
s10,s02,2440183
s10,s08,2063246
s10,s07,2440342
s10,s05,1243663
s10,s11,97347
s10,s09,1411726
s07,s10,11127676
s07,s01,352278
s03,s10,8352071
s03,s01,299146
s08,s10,11111829
s08,s01,1304917
s04,s10,8910650
s04,s01,286978
s12,s01,2189188
s12,s11,4632
s02,s10,12110531
s02,s01,2494768
s01,s03,160612
s01,s04,148799
s01,s06,141466
s01,s10,56168
s01,s02,339023
s01,s08,272794
s01,s12,88850411
s01,s07,164418
s01,s05,147012
s01,s11,240406166
s01,s09,68404
s09,s10,9199520
s09,s01,170159
s11,s10,47433
s11,s01,17574588
s11,s12,468
s05,s10,8881721
s05,s01,317814
s06,s10,8880817
s06,s01,339367
