Unit,Total Packets Processed,Total Process Time,Average Process Time
Class+NtwkMapper,587335,4.353998899459839,0.1853285986472728
Classifier,587335,3.0122838020324707,0.18082236836095747
Network Mapper,587335,0.10586667060852051,0.057110298953211035
MAC Track+Preproc,4802124,3863.859274864197,20.115366007126205
MAC Track,4802124,501.25076937675476,19.69363751178475
Preprocesser,4802124,81.00770115852356,17.505839632043248
Start and finish time,1514634958.952279,1514638827.166909,3868.2146298885345
