from,to,weight
s10,s03,1155733
s10,s01,393370
s10,s04,1107277
s10,s06,1156531
s10,s02,2076775
s10,s08,1997267
s10,s07,2293368
s10,s05,1145712
s10,s11,193130
s10,s09,983726
s07,s10,10079887
s07,s01,4295096
s07,s09,527463
s03,s10,8365164
s03,s01,4524028
s03,s09,348198
s08,s10,11641628
s08,s01,5624894
s08,s09,336934
s04,s10,7860751
s04,s01,5839364
s04,s09,303525
s02,s10,10465456
s02,s01,6953165
s02,s09,424412
s01,s03,137821
s01,s04,128629
s01,s06,117050
s01,s10,297461
s01,s02,746980
s01,s08,210024
s01,s07,138235
s01,s05,124931
s01,s11,95375356
s01,s09,114625
s09,s03,85957
s09,s01,5516729
s09,s04,84038
s09,s06,86903
s09,s10,7730564
s09,s02,252527
s09,s08,88674
s09,s07,273636
s09,s05,69617
s11,s10,106814
s11,s01,15869443
s11,s12,159852
s05,s10,8843275
s05,s01,4295158
s05,s09,276291
s06,s10,8710786
s06,s01,4870763
s06,s09,298771
