from,to,weight
s10,s03,1647675
s10,s01,182702
s10,s04,1634708
s10,s06,1597442
s10,s02,3222330
s10,s08,2111198
s10,s07,3105113
s10,s05,1618918
s10,s11,198950
s10,s09,1723472
s07,s10,15593822
s07,s01,6944208
s07,s02,1968
s07,s09,106499
s03,s10,12721780
s03,s01,7665841
s03,s02,1745
s03,s09,60877
s08,s10,14289913
s08,s01,8031984
s08,s02,2126
s08,s09,57526
s04,s10,12760142
s04,s01,7226810
s04,s02,2044
s04,s09,51656
s02,s03,2466
s02,s01,11143454
s02,s04,2618
s02,s06,2536
s02,s10,18564132
s02,s08,2874
s02,s07,2141
s02,s05,2877
s02,s09,115470
s01,s03,171853
s01,s04,164573
s01,s06,167015
s01,s10,153866
s01,s02,1915185
s01,s08,289594
s01,s07,176245
s01,s05,163647
s01,s11,25852130
s01,s09,86935
s09,s03,18313
s09,s01,7318683
s09,s04,20314
s09,s06,17702
s09,s10,13171757
s09,s02,54741
s09,s08,16693
s09,s07,50182
s09,s05,16169
s11,s10,92032
s11,s01,2805724
s11,s12,831092
s05,s10,12516898
s05,s01,6370352
s05,s02,1669
s05,s09,56274
s06,s10,12573891
s06,s01,6161118
s06,s02,1740
s06,s09,66357
