2017-12-23 09:52,Switch1,1
2017-12-23 09:54,Mini,1
2017-12-23 09:55,Insight,1
2017-12-23 09:58,Switch4,1
2017-12-23 10:01,Mini,1
2017-12-23 10:01,Switch2,1
2017-12-23 10:02,Insight,1
2017-12-23 10:02,Mini,1
2017-12-23 10:02,Motion,1
2017-12-23 10:03,NetCam,1
2017-12-23 10:02,Switch1,1
2017-12-23 10:02,Switch2,1
2017-12-23 10:02,Switch3,1
2017-12-23 10:02,Switch4,1
2017-12-23 10:19,Insight,1
2017-12-23 10:19,Mini,1
2017-12-23 10:19,Motion,1
2017-12-23 10:19,NetCam,1
2017-12-23 10:19,Switch1,1
2017-12-23 10:19,Switch2,1
2017-12-23 10:19,Switch3,1
2017-12-23 10:19,Switch4,1
2017-12-23 10:37,Mini,1
2017-12-23 10:37,Motion,1
2017-12-23 10:37,NetCam,1
2017-12-23 10:37,Switch1,1
2017-12-23 10:37,Switch2,1
2017-12-23 10:37,Switch3,1
2017-12-23 10:37,Switch4,1
2017-12-23 10:53,Insight,1
2017-12-23 10:53,Mini,1
2017-12-23 10:53,NetCam,1
2017-12-23 10:53,Switch1,1
2017-12-23 10:53,Switch2,1
2017-12-23 10:53,Switch3,1
2017-12-23 10:53,Switch4,1
2017-12-23 11:15,Insight,1
2017-12-23 11:15,Mini,1
2017-12-23 11:15,Switch1,1
2017-12-23 11:16,Motion,1
2017-12-23 11:16,NetCam,1
2017-12-23 11:16,Switch2,1
2017-12-23 11:16,Switch4,1
2017-12-23 11:28,Insight,1
2017-12-23 11:28,Mini,1
2017-12-23 11:28,Switch1,1
2017-12-23 11:28,Switch2,1
2017-12-23 11:28,Switch3,1
2017-12-23 11:28,Switch4,1
2017-12-23 11:29,Motion,1
2017-12-23 11:29,NetCam,1
2017-12-23 11:49,Insight,1
2017-12-23 11:49,Mini,1
2017-12-23 11:49,Motion,1
2017-12-23 11:49,NetCam,1
2017-12-23 11:49,Switch1,1
2017-12-23 11:49,Switch2,1
2017-12-23 11:49,Switch3,1
2017-12-23 11:49,Switch4,1
2017-12-23 12:06,Insight,1
2017-12-23 12:06,Mini,1
2017-12-23 12:06,Motion,1
2017-12-23 12:06,NetCam,1
2017-12-23 12:06,Switch1,1
2017-12-23 12:06,Switch2,1
2017-12-23 12:06,Switch3,1
2017-12-23 12:06,Switch4,1
2017-12-23 12:23,Insight,1
2017-12-23 12:23,Mini,1
2017-12-23 12:23,Motion,1
2017-12-23 12:23,NetCam,1
2017-12-23 12:23,Switch1,1
2017-12-23 12:23,Switch2,1
2017-12-23 12:23,Switch3,1
2017-12-23 12:23,Switch4,1
2017-12-23 12:41,Mini,1
2017-12-23 12:41,Motion,1
2017-12-23 12:41,NetCam,1
2017-12-23 12:41,Switch1,1
2017-12-23 12:41,Switch2,1
2017-12-23 12:41,Switch3,1
2017-12-23 12:41,Switch4,1
2017-12-23 12:56,Insight,1
2017-12-23 12:56,Mini,1
2017-12-23 12:56,Motion,1
2017-12-23 12:56,NetCam,1
2017-12-23 12:56,Switch1,1
2017-12-23 12:56,Switch2,1
