from,to,weight
s10,s03,1497435
s10,s01,3968199
s10,s04,1518992
s10,s06,1525065
s10,s02,2697204
s10,s08,2048291
s10,s07,2837538
s10,s05,1529187
s10,s11,215025
s10,s09,527521
s07,s10,15152265
s07,s01,8026550
s03,s10,12578093
s03,s01,8958580
s08,s10,14346653
s08,s01,8541760
s04,s10,12500290
s04,s01,7615536
s02,s10,16535348
s02,s01,11787862
s01,s03,162325
s01,s04,151820
s01,s06,155012
s01,s10,3386628
s01,s02,1325120
s01,s08,297860
s01,s07,160468
s01,s05,157436
s01,s11,30709726
s01,s09,33141
s09,s10,3768290
s09,s01,7420400
s11,s10,93045
s11,s01,11735901
s11,s12,872266
s05,s10,12597910
s05,s01,8347522
s06,s10,12551755
s06,s01,7701948
