Unit,Total Packets Processed,Total Process Time,Average Process Time
MAC Track+Preproc,8304773,8205.05369091034,24.699813260730725
MAC Track,8304773,1004.2111530303955,23.692965254541313
Preprocesser,8304773,334.4657654762268,21.6768192757344
Start and finish time,1514398836.142221,1514407043.021089
