2017-08-14 15:13:56,0xaf9a8cef,54:67:df:80:a4:52 (No ID),fa:67:4f:5e:5c:ca (Eve Door 91B3)
2017-08-14 15:40:10,0x58ab700d,20:c3:8f:ec:29:dc (Instant Pot Smart),48:31:ce:49:09:12 (No ID)
2017-08-14 16:22:35,0x20746e61,20:c3:8f:ec:29:cc (Instant Pot Smart),74:73:6e:49:09:12 (No ID)
2017-08-14 16:26:39,0x50656526,56:34:f4:c2:d3:ae (No ID),08:7c:be:30:69:31 (BLELock)
2017-08-14 16:27:14,0xaf9aab95,08:66:98:ed:1e:1a (No ID),fa:67:4f:5e:5c:ca (Eve Door 91B3)
2017-08-14 16:27:55,0xaf9a9dd3,4e:6c:79:c8:55:52 (No ID),fa:67:4f:5e:5c:ca (Eve Door 91B3)
2017-08-14 16:32:16,0x50654493,4e:6c:79:c8:55:52 (No ID),fa:67:4f:5e:5c:ca (Eve Door 91B3)
2017-08-14 16:35:26,0x20746e71,20:c3:8f:ec:29:dc (Instant Pot Smart),74:73:6e:59:09:12 (No ID)
2017-08-14 16:37:48,0x50656cdc,4e:6c:79:c8:55:52 (No ID),eb:6e:e4:03:a0:67 (Eve Energy 556E)
2017-08-14 16:38:21,0xaf9a9d92,08:66:98:ed:1e:1a (No ID),eb:6e:e4:03:a0:67 (Eve Energy 556E)
2017-08-14 16:39:28,0x50656cdb,4e:6c:79:c8:55:52 (No ID),f0:3a:a4:b1:3d:f0 (Eve Weather 943D)
2017-08-14 16:40:02,0xaf9a8452,4f:40:a2:e6:fe:5b (No ID),eb:6e:e4:03:a0:67 (Eve Energy 556E)
2017-08-14 16:40:41,0x50655c6f,08:66:90:ed:1e:1a (No ID),fa:1b:ef:55:41:c8 (Eve Motion 31A7)
2017-08-14 16:43:43,0xaf9a9b51,08:66:98:ed:1e:1a (No ID),fa:1b:ef:55:41:c8 (Eve Motion 31A7)
2017-08-14 16:46:55,0x5065456f,69:a2:54:32:95:fe (No ID),da:68:f2:6f:ac:72 (Eve Room 4A04)
2017-08-14 16:52:07,0x50654469,69:a2:54:32:95:fe (No ID),eb:6e:e4:03:a0:67 (Eve Energy 556E)
2017-08-14 16:54:02,0xaf9aa251,6e:d4:93:77:5e:81 (No ID),eb:6e:e4:03:a0:67 (Eve Energy 556E)
2017-08-14 16:56:35,0x50656355,69:a2:54:32:95:fe (No ID),5c:31:3e:2f:32:7b (Gunbox)
2017-08-14 16:57:30,0xaf9ab5a6,4d:72:59:a0:16:37 (No ID),5c:31:3e:2f:32:7b (Gunbox)
