Unit,Total Packets Processed,Total Process Time,Average Process Time
MAC Track,2123142,1871.0001440048218,20.46978857173774
Preprocesser,2123142,1871.0001440048218,19.435508806258444
MAC Track,543502,8.861587047576904,0.40761519955662096
Classifier,1033953,2.192530870437622,0.048295256144844444
Network Mapper,1033953,2.192530870437622,0.026238967082859194
Classifier,1033953,2.079223871231079,0.04626059888587529
Network Mapper,1033953,2.079223871231079,0.023453089983663696
