a0:18:28:33:34:f8,2017-08-14 06:56:28,2017-08-14 07:31:55
a0:18:28:33:34:f8,2017-08-14 15:01:51,2017-08-14 15:19:41
a0:18:28:33:34:f8,2017-08-14 15:24:48,2017-08-14 15:29:56
ec:4f:82:73:d1:1a,2017-08-14 06:56:24,2017-08-14 17:00:07
b4:75:0e:0d:33:d5,2017-08-14 06:56:24,2017-08-14 17:00:07
ec:4f:82:73:d1:1c,2017-08-14 06:56:24,2017-08-14 17:00:07
b4:75:0e:0d:94:65,2017-08-14 06:56:32,2017-08-14 17:00:07
14:91:82:c8:6a:09,2017-08-14 06:56:32,2017-08-14 17:00:07
b8:27:eb:09:1a:81,2017-08-14 06:56:32,2017-08-14 17:00:07
ec:1a:59:e4:fd:41,2017-08-14 06:56:31,2017-08-14 17:00:07
14:91:82:24:dd:35,2017-08-14 06:56:32,2017-08-14 17:00:07
08:66:98:ed:1e:19,2017-08-14 06:56:33,2017-08-14 17:00:07
ec:1a:59:f1:fb:21,2017-08-14 06:56:32,2017-08-14 17:00:07
94:10:3e:2b:7a:55,2017-08-14 06:56:32,2017-08-14 17:00:07
a0:18:28:33:34:f8,2017-08-14 16:26:00,2017-08-14 17:00:07
60:38:e0:ee:7c:e5,2017-08-14 06:56:25,2017-08-14 17:00:07
