Date,DC,TD,DCSR$_%$,TP,FP,FN,TE,EI,EISR$_%$,EIFP$_%$,EIFN%_%$,ST$_{min}$,TT$_{min}$,ULSR$_%$
8/16/17,8,8,100,31,0,0,31,31,100.000,0.000,0.000,584,587,99.489
8/22/17,8,8,100,34,1,1,35,35,97.143,2.857,2.857,650,651,99.846
8/23/17,8,8,100,34,2,3,37,36,91.892,5.556,8.108,663,665,99.699
8/25/17,8,8,100,35,1,2,37,35,94.595,2.857,5.405,706,709,99.577
8/26/17,8,8,100,28,1,5,33,29,84.848,3.448,15.152,497,497,100.000
