Date,DC,TD,DCSR$_%$,TP,FP,FN,TE,EI,EISR$_%$,EIFP$_%$,EIFN%_%$,ST$_{min}$,TT$_{min}$,ULSR$_%$
8/16/17,,,,,,,,,,,,,,
8/22/17,9,12,75,33,5,5,38,38,86.842,13.158,13.158,650,651,N/A
8/23/17,9,12,75,41,3,1,42,44,97.619,6.818,2.381,663,665,N/A
8/25/17,9,12,75,50,11,0,50,61,100,18.033,0,706,709,N/A
8/26/17,9,12,75,37,6,2,39,43,94.872,13.953,5.128,497,497,N/A
